Sentences,Annotation,
?? 1948 ?? ?????? ????? ?? ??????? ??????????? ?? ??? ??? ???? ?????? ?? ??? ?? ?? ???,4,
??? ????? ????? ??? ?? 1 ????? 1962 ?? ???????? ?? ???? ?? ???,2,
??? 1961 ??? ?????? '???? ????' ?? ??????? ???? ???,1,
??? 1967 ??? ?????? ??? ???? ?????? ??? ??. ???? ??? ?????? ????????? ?? ??????? ?? ??? ??,4,
1 ????? ?? ???? ??????? ?? ????????? ????? ?? ???,4,
"?? ??? ???? ??? ?? ???? ?? ??? ??, ?????? ??? ??? ?? ???? ?? ?????? ????",4,
?? ???? ?? ???? ???? ??- '????? ???? ???? ??',1,
"?? ????? ?? ???? ??-????? ?? ???, ??? ???? ?????? ???",0,
???? ????? ???? ??? ?????? ?? ???? ?? ?????? ???? ????,4,
....?? ???? ?? ???? ???? ??? ???? - '????? ???? ???? ??...,1,
"?????????? ??? ???? ?? ?????? ?????????? ??????, ???????, ???????, ?????, ???? ?????? ??? ?????? ???? ?? ???? ??",4,
???? ???? ?? ??? ???????? ??,4,
????????? ?????? ?? ????? ?? ?? ??? ??? ?? ??,4,
"?? ?????, ???? ?? ????? ?? ??????????? ??",4,
???? ????? ????????? ???? (?????????) ?? ??? ??? ??,4,
????? ?? ???? ?? ??????????? ?? ?? ?? ?????????? ?????? ??? ???????? ???????????? ?????? ???? ??,4,
??? ????? ???? ???? ??? ??? ????? :-,4,
???? ?? ?????? ????????? ?????? ??????? ?????????? ??? ???? ?? ???? ???????? (???????????) ??? 1 ????? 1882 ?? ??? ??,4,
"?????? ????????? ?????? ?? ?????? ???? ?? ???-??? ?? ?? ???? ??????, ????? ???????, ????? ?? ????? ???? ??? ??????? ????? ?? ??",4,
???? ????????? ?????? ???? ?????? ??????????? ???????? ??? ???,4,
????????? ???????? ?? ?? ?????? ????? ?? 1906 ??? ???????? ???????? ??? (?? ?? ????????? ?? ???) ??? ???? ???? ????,4,
??? 1899 ???? ?????????? ???? ?? ?? ?? ???????? ?????? ?? ????? ??,4,
1906 ??? ?????? ????????? ???????? ?? ????????? (???????? ??) ???? ??,4,
??? 1919 ??? ?????????? ??? ????????? ?? ?????? ???? ???? ???????? ?????? ?? ????? ?? ?????? ??,4,
"??? 1920 ??? ?????? ??????, 1921 ??? ??????? ??????? ??? ??????? ?? ?????? ?? ?????????? ??????? ??? ??? ?? ??? ???????? ?? ??? ??? ?? ?? ?? ??????? ??? ??? ????",4,
????? ?????? ?????? ?? ??????? ??? ??? 1930 ??? ????? ??? ???????? ??? ??? ??????? ?? ????,4,
???? ??? ?????? (??? 1931 - ??????? ?? ???? ????? ?? ????) ??????? ??????? ??? ????? ????? ?? ???-??? ??????? ???? ?? ?? ???????? ???? ??? ??,4,
???? ?? ????? ?? ??? ???????? ???????? (???????????) ?? ???????? ?? ??? ??? 13 ?????? ?? ??? ????,4,
?? ????? 1937 ?? 1950 ?? ???? ???????? ??? ?? ??? ???????? ?? ??????? ???? ??,4,
???? ?? ??????????? ?????? ?? ?????????? ?????? ??? ???? ??? ?????? ???? ???? ?? ??? ??? ?? ???????? ?????? ???????? ?? ?????? ???? ???,4,
???? ????? ?????? ??? 1961 ??? '???? ????' ?? ????? ?? ??????? ???? ???,4,
"??? ???? ????????, '???????' ?? ??? ?? ???????, ?????????? ?????? ?????????? ??? ???? ?? 1 ????? 1962 ?? ???? ?? ???",4,
?????? ??????? ?? ?????????? ???? ???? ????? ?? ???? ???????? ?????????? ???????? ???? ??? ????? ???????? ???,4,
????? ??? ??? ????????? ?? ???? ?????? ??,4,
??????? ??? ??????? ???? ?? ????? ???? ?? ????,4,
???? ?????? ???? ?? ???? ???? ??,4,
???? ?????? ???????? ???? ??,4,
"???? ?????? ???????? ?? ???????? ?? ??? ?? ???? ????????????, ??????? ?????, ?????????? ?? ????????? ???? ??",4,
??? ?? ??? ???????? ??????????,4,
??????? ?????????? ?? ???? ???? ??? 19 ????? 1835 ?? ???,4,
???? ???? ??????? ?????? ??????? ????? ?? ?????? ??,4,
???? ???? ?? ??? ??????? ??? ??,4,
??????? ?? ?????? ????? ??? ?? ??????? ????? ?? ???? ??? ???????? ???? ?? ???? ??????? ?? ?? ????? ?? ???? ???? ???,4,
?????????? ???? ???????? ??? ?????? ?? ??? ?? ???? ???? ???,4,
??? ???? 1838 ??? ?????? ??? ?? ????? ?? ???? ????? ???? ???,4,
?? ????? ??,4,
???? 1850 ??? ?????? ?? ???? ????? ???,1,
???? 1851 ??? ???? ????? ???? ?? ???????? ???,1,
"????? ?? ????-???? ??? ???? ?? ??? ???????? ???, ????? ??? ??? ?????? ?? ???? ?? ???? ?? ???",2,
???? ????? ??? ???? ??? ?????? ?? ??,2,
???? ?????? ??? ?? ?? ???? ???? ????? ?????? ?? ?? ??? ?????? ? ?? ??? ?? 21 ????? 1853 ?? ?? ???,2,
"?????? ??????? ?? ???? ??????? ?? ??? ?????? ??, ????? ??? ?? ?? ????? ????, ???????? ????? ???? ????",4,
???? ?????? ??? ?? ???? ??????? ??? ?? ???? ?????? ?? ???? ?????? ??? ?? ????? ????? ????? ??????? ????? ?? ????? ?? ?? ??,4,
????? ???? ?????? ????? ?? ????? ?? ????? ????? ?? ???????? ?? ????,4,
27 ????? 1854 ?? ????? ?????? ?? ??? ?? ???? ?? ??????? ?????????? ?????? ??? ?? ??? ???????? ?? ?? ?? ????? ?? ??????? ????? ??? ?????? ?? ????? ?? ??,4,
"???????? ????? ?? ????? ???? ?? ???? ?? ??? ?? ?? ????? ?????????? ?? ???, '??? ???? ????? ???? ?????'",0,
7 ????? 1854 ?? ????? ?? ???????? ?? ?????? ???,4,
????? ?? ???? ?? ????? ???????? ?? ?? ? ??? ?? ?????? ??? ????? ???? ????,4,
???? ?? ???? ?? ????? ????????? ??????? ?? ??? ?????????? ???,0,
???????? ?? ????? ?????? ?? ???? ?? ?????? ???? ?? ???? ?? ????-??????? ???????? ?? ?? ?? ??? ??? ??????? ?? ?? ??? ???,0,
???? ?????????? ?? ???? ?????????? ???? ?? ??????? ?? ???????? ?? ???? ??????? ??? ???????? ?? ??????? ??????? ???? ?? ????? ????,0,
"???? ????? ??? ??? ?? ???? ???? ???, ????? ???? ?????? ?? ???? ???? ???, ????? ???? ?????? ?????? ???, ???? ???? ?? ???? ????????? ????? ?? ????, ?????? ?? ???? ????????? ?? ?????? ???? ??? ??? ??????? ?? ?? ????? ??? ????? ???? ?? ??????? ???? ???",4,
???? ?? ???? ??? ??????? ?? ?????? ??? ??,0,
"????? ??? ??? ???????? ?? ????? ??? ?? ??????? ?? ??????????? ???? ?? ???? 31 ?? 1857 ??????? ?? ??, ????? ???? ????? ?? ??????? ?? ?????? ??????????? ?? ?? ?? 7 ?? 1857 ?? ???? ??? ??? 4 ??? 1857 ?? ?????? ???, ???? ?????? ?? ??",4,
?????? ?? 28 ??? 1857 ?? ????? ???????? ?? ???,1,
???????? ?? ?????? ?? ??????? ?? ???? ???? ?? ???????? ?? ??????? ????? ?? ??????? ????,4,
"???????? ????, ??????, ?????, ??????, ??????, ?????? ?? ??????? ?? ?????? ?????? ???????????? ???????? ???",4,
??? ????? ?? ?? ???? ??? ????? ?? ???? ?????? ?????? ????? ?? ????? ??? ????? ?? ?????? ?? ???? ??? ????,4,
?????????? ???? ?? ?? ????? ??? ?? ?????? ?? ???? ????????? ?? ?? ?? ????? ?? ????? ??? ???? ???? ?? ????? ??????? ?? ???? ??,4,
23 ????? 1858 ?? ????? ?? ???????? ????? ???? ???,4,
???? ????? ????? ??? ??? ?? ????? ?? ???? ?? ?????????? ????? ?? ?????? ????? ??? ???? ????? ?? ???? ??? ??? ?? ??????? ???? ?? ????? ??? ??,1,
???? ?????????? ?? ??? ??? ?? ??????????? ????? ?? ??????? ?? ?? ???? ????-?? ??????? ???? ?? ???????? ?? ??? ??????? ?? ??????? ????,4,
???? ?? ??????? ?? ????? ?? ????? ???? ?? ????? ??? ???? ????? ?? ????? ????,4,
"?? ????? ?? ???? ??? ?? ???? ?????? ??? ?? ???? ???? ?? ???? ??, ???????? ?? ????? ???? ????",3,
???? ??? ?? ????? ?? ???? ?? ?????? ???? ????? ??,4,
??????? ?? ????? ????? ???? ?? ????? ???????? ????,4,
???? ???? ?? ???? ???? ?????,3,
???????? ???? ???? ?? ???? ????? ??????? ?????? ???? ?? ?????? ??????? ???? ?? ?????-?????? ????,4,
"???? ?? ????? ?? ???? ?? ???? ?????? ??? ??, ????? ???????? ???? ?? ???? ????",4,
???? ?? ???? ???? ??? ???? ?? ??? ?? ??? ??? ?????? ?? ??????? ???,2,
????? ???? ?? ???? ???? ???? ?? ????? ?? ???????? ????,1,
"????? ??? ??????? ?? ?????? ???? ?? ????? ???? ?? ??? ??? ???? ????, ????? ?? ????, ?????? ?? ???? ????????? ??? ??? ?? ???? ?? ??? ????",1,
???? ?? ???????? ?? ?????? ???? ?? ???? ?? ???? ?? ?????? ?? ????,1,
?????????? ?? ????? ?? ????? ?? ???? ??? ????? ???? ???? ??????? ???,4,
"?? ??? ???? ?? ???? ??, ???? ????? ?? ???????? ?? ???? ??? ????? ?? ??",4,
??? ??????? ?? ??????? ???? ???? ?? ??? ??????? ????? ?? ???? ?? ???? ???? ??? ?? ??????? ?? ??? ?? ? ??? ?? ???? ???????? ?? ???? ?????? ????? ???? ???? ????? ??? ?? ????,2,
???? ?????????? ?? ????? ??? ?? ???? ?????? ?? ????? ???? ????,1,
18 ??? 1858 ?? ???????? ?? ????? ????? ??? ?? ???? ?? ???? ???? ?? ???? ??????? ????,1,
?? ???? ?? ??? ?? ????? ???????? ?????? ??????? ??,2,
9 ??? ????? ?????? ?? ?????? ???? ??,4,
????? ?????? ?? ???? ??? ?????? ?? ???? ???? ??,4,
???? ??,2,
??????? ???? ???????? ??? ???? ?? ???? ?????? ?? ??? ???? ????? ??,2,
??? ????? ???? ?????? ?? ??? ?????? ?? ????,4,
"????? ?????? ?? ???? 27 ???????, 1670 ?? ????? ????? ????, ???? ??? ???? ?????? ?? ?? ??? ???",4,
???? ???? ?? ??? ?????????? ??,4,
????????? ??? ????? ????? ??? ???????? ?? ??????? ????? ?? ??? ??? ????,2,
???? ???? ??? ?? ?? ???? ????? ?? ?????? ???? ?? ???,2,
?? ????? ???? ?? ????? ?? ???,2,
???????? ???? ??? ??????? ?? ???? ?? ?? ?????? ??????????? ?? ?? ????,4,
???? ?????? ?? ??? ????? ???? ?? ??? ???????? ??? ?????? ????? ???? ???,4,
??? ????? ???? ??????????? ?? ??????? ?? ?????? ??? ???,4,
???? ????? ????? ?????? ?? ???? ??,4,
???????? ?? ???? ??? ??? ??????? ?? ??????? ?????? ??? ??? ??????? ???? ?? ????? ?? ???,4,
?? ???? ?? ??????? ?? ???? ??? ???,1,
?????? ?? ??? ????? ?????? ??? ????,4,
"??? ???? ???, ?? ????? ?????, ?? ?????? ?? ?? ????????? ???? ????? ???? ??????? ?? ????? ??? ??????? ???? ??????? ?? ???? ?? ???? ???? ?? ???",0,
????? ?????? ??? ??????? ?? ??? ???? ????? ?? ?? ?? ????,4,
???????? ???? ???? ???? ???? ????????? ?? ?? ??? ????? ???? ?????? ?????????? ?? ??? ????,0,
??? ??????? ?? ???? ??????? ?? ?? ????,0,
"??? ?????? ?????? ?? ?????? ?? ??? ???? ??, ????? ?????? ?? ?????? ?? ???? ?????",0,
???? ????? ?? ???? ??? ?? ??? ?? ???,1,
"???? ??????? ?? ????? ?????? ?? ?? ??? ??? ???? ?? ?? ???? ???? ?? ?????????? ?? 17 ??????, 1715 ?? ?????? ???? ????",2,
"?????? ???? ?? ?? ??????? ??? ??????, ???? ?? ????? ???? ????? ?? ?????? ???? ???",2,
???? ??? ?????? ??? ?? ??? ???? ??? ??,2,
"????? ????? ?? ?? 740 ???? ?? ??, ?? ???????? ?? ?? ???? ??? ??",2,
????? ??? ?????? ??? ????? ?? ??? ????? ?????? ???? ?? ??? ?? ?????? ?????? ???? ???,2,
?????? ?? ???? ?????? ?? ????? ?????? ?? ???? ???? ???? ???,2,
??????? ?? ????? ?? ???? ??????? ?? ??????? ???? ?? ???; ?? ???? ?? ???????? ????? ????,2,
"?????? ??? ?? ???? ???????? ????????? ??,???? 7 ?????, 1716 ?? ???????? ?? ????? ?? ????? ?? ???? ???",2,
"?? ?????? ??????? ???? ?? ???? - ????? ??? ???? ??? ????? ????, ????? ???????? ?? ??????? ?? ??? ??",2,
????? ?? ???? ?????? ????? ????? ???? - ??? ?? ????? ?? ???????? ?? ???? ???? ?? ??? ??????? ???????? ?? ??? ?? ?????? ??,1,
"???? ????? ???? ???? ?? ?? ????? ??? ??????? ?? ?????? ??? ???? ??, ?? ?? ???? ???? ???? ???? ?? ???? ?? ????? ??",1,
????? ?? ???? ??? ?? ?? ???? ??? ???? ????? ???,0,
"????? ?? ????? ????, ??? ?? ??? ?? ???? ????, ??????? ?? ???? ?? ???? ?? ??? ??",4,
?? ????? ?? ?? ??????? ?? ???,4,
????? ???? ?? ??? ???? 5 ?????? ????? ??? ???? ?? ???? ??? ??? ?????? ????? ?? ??? ??? ???? ???? ???? ????? ?? ??? ???,2,
????? ?? ???? ?????? ?? ????,0,
?? ?? ?????? ?? ?? ????? ?? ?? ???????? ???? ??? ?? ???? ????? ?? ???? ??? ???? ????; ?? ?? ?? ?? ???? ??? ?? ???? ??,2,
??? ?????? ?? ???? ???? ???? ?? ???? ???? ???? ??? ???? ???????? ??? ??,2,
"??? 9 ???, 1716 ?? ?? ??? ?? ???? ?? ?????? ???? ???",2,
?? ?????? ????? ??? ?????? ???? ??? ?? ????? ?????? ?? ?????? ?? ????? ?? ?? ???,2,
??? ?????? ??????? ?? ?????????????? ??? ???????? ??,1,
???? ??? ?? ?????? ?????????????? ?? ??? ???? ????? ??,4,
"?? ?? ???? ???????????, ?????????, ???? ??????, ??????, ?????, ?????????? ??",4,
???? ???????? ?????????????? ?? ??? ???? ?? ???? ???,4,
???? ???? ???????? ??,4,
??? ?????? ?? ???? 28 ?? 1883 ?? ????? ?? ???? ???? ??? ???,4,
"???? ???? ?? ??? ?????? ??? ?????? ??, ?? ???? ?? ?????????? ?????????? ??? ???? ???? ??",4,
???? ???? ?? ??? ??????? ??,4,
"?? ?????? 9 ??? ?? ??, ?? ?? ???? ???? ?? ?????? ?? ??? ??",2,
???? ???? ??? ?????? ?????? ?????? ??,4,
???? ?? ?? ?? ????? ??,4,
???? ??? ???????? ??? ??????? ?? ???? ???,4,
"???????? ?????? ????????, ????? ?? 1901 ??? ??????? ?? ??????? ??? ??",4,
"????? ?? ??? ??? ???? ?? ??? ???????? ?? ????? ??????? ???? ??, ?? '????? ????' ?? ??? ?? ???? ??",4,
1905 ?? ???-??? ?? ??? ???????? ???? ??? ?????? ???????? ?? ???? ????,4,
"????????? ?????, ???? ??? ????? ?? ????? ?? ?? ???????????? ?? ??-????? ?????? ???? ???? ??",4,
???? ?? ??????? ?? 1906 ??? ?????? ??????? ????? ????? ??????????? ????,4,
"?????? ?????????????' ?? '?????' ??? ???????? ???? ??? ????, ?? ??? ??? ??????? ?? '???????' ??? ?? ???",4,
?? ???? ?????????????? ?? ?????? ???????? ??,4,
???? ??? ???? ?? ????? ?????? ?? ??????? ???? ?????? ?? ???,4,
???? ??? ?? ?????? ???? ?? ?????? ?? ???? ??,4,
?????? ?????? ?? ????? ??? ???? ?? ??? ???????? '???? ??????' ??? ?? ?? ??? ???? ??,4,
???????? ?????? ?? ????? ???? ?? ????? ?? ????? ??,4,
1909 ??? ???? ?????? '? ?????? ??? ?? ???????????-1857' ??? ?????? ?? ?? ???? ?? ??????? ????? ?? ????? ????? ?? ???? ???? ????? ????,4,
??? ?????? 1911 ?? 1921 ?? ?????? ??? ??? ???,4,
1921 ??? ?? ?????? ???? ?? ??? 3,4,
??? ??? ????,4,
??? ??? '?????????' ?? ??? ????? ????,4,
1937 ??? ?? ?????? ?????? ?? ??????? ???? ??,4,
"1943 ?? ??? ?? ????, ????? ??? ???",4,
9 ??????? 1942 ?? ???? ?? ?????????? ?? ??? ?????? ?? ??????? ??? ???? ?? ????? ???? ???? ?? ?????? ???,4,
????? ?? ???????? ?? ???? ??? ??????? ?? ?????? ?? ?????? ???-??? ??,4,
?????? ?? ?? ??? ???? ??? ?? ????????? ?????? ?? ????? ??????? ??? ??? ?? ??????? ?? ??? ?? ????? ?? ??????? ????? ?? ??? ?????? ??? ????,4,
?? ?????? ??? ?? ??? 10 ???? ????????? ?? ???????? ??? ?? ????? ?? ??? ???: ????,4,
26 ????? 1966 ?? ???? ?? ?? ???? ??????????? ?? ???? ???,2,
???? ??????? ???? ???????? ?? ???????? ?? ??? ?????? ???? ??? ?? ????,4,
??? ?????? ?????? ?????????? ?????? ?? ?????? ?????? ?? ?????? ??? ????? ??????????? ???? ??,4,
?? ??????,4,
????? ?? ???-??? ?? ?????? ?? ????????? ???? ??? ????????? ??? ?? ?????? ??? ???? ??,4,
???? ??????? ??? ??? ?? ????????? ?? ????? ???? ?? ???? ??,4,
????????? ??? ?? ???? ????? ?? ???? ??????? ???????? ??? ?????? ?? ????????? ?????? ??? ?? ??????? ????????? ??. ???????? ?????? ?????? ?? ???? ??,4,
"??. ?????? ?? ?? ??? ????????? ?? ??? ?? ???? ???? ??, ????????? ????? ????? ??? ???? ????? ??? ?? ??? ????? ?? ??????? ??? ??????? ?? ??",1,
???? 1968 ??? ??????? ???????? ??? ???????????? ?? ?????? ?? ???????? ???? ?? ??? ?????? ???????? ?? ????? ???????? ???? ???,1,
?????? ?? ???????? ?? ???? ??????? ??????????? ??. ?????? ???? ?? ??. ?????? ????????? ?? ??? ???? ??? ?? ???? ??? ??,4,
?? ????? ??????????? ?? ????? ??? ?? ?????? ?? ?????? ???? ?? ????? ?? ????? ????????? ?? ???????? ??? ?????? ???? ??,4,
??. ???????? ?????? ????? ???????? ???? ???? ?????? ??? ?? ????? ??????? ??,4,
????? ???????? ?? ??? ??????? ?? ??. ?????? ?? ‘????? ?????? ?? ?????’ ?? ??????? ?????? ??,1,
?? ?????? ???? ??????? ??????? ??????????? ?? ?? ???? ???? ??,1,
??. ?????? ?? ????????? ??????????? (???? ??????????) ???? ?? ??????? ???? ??? ?????????? ?????? ?????? ?? ??? ?? ??? ???? ???? ??,1,
????????? ??????????? ??? ??. ?????? ?? ?????????? ?????? ?? ???? ??????? ?? ???? ?? ??? ???? ???? ?? ?? ???? ????? ???? ??,1,
"??. ???????? ?????? ?? ???? 9 ?????, 1922 ??? ???????? ???? ?? ?????? (???? ???????, ?????) ???? ????? ??? ??? ??",4,
?????????? ?????????? ???? ?? ???? ???????? ??? ????? ??? ??. ?????? ?? ?????????????? ?????,4,
????? ????????????? ?? ?????? ?? ????? ???? ???? ?? ???? ????? ?? ??????????? ???? ???? ?????? ?? ??? ???????? ??,4,
???? ??????? ????????????? ??? ???????? ??. ???????? ?? ?????????? ??? ???????? ???? ??? ????? ???? ???? ?? ???????? ?? ????? ??????? ??,4,
??? ??? ??? ?? ??? ??? ???? ????? ?? ?????? ????????? ?????? ?? ?? ?????? ????? (????????????) ?? ????? ?????????? ?? ?????????? ??? ???????? ??. ??????? ?? ??? ??? ????? ???? ?? ???? ??? ???,4,
"???????, ?? ??????? ?? ?? ?? ???? ??? ???? ??? ?? ??. ?????? ?? ?? ??????? ??? ??? ???? ??? ??? ?? ?? ???????? ??? ??",2,
???????? ??? ???????? ????????????? ??? ????? ???????? ?????? ????. ?????????? ??? ?? ??? ?????? ????? ???? ?? ???? ????,4,
???? 1952 ??? ?????? ????? (?????) ?? ??????? ???????? ???????? ????? ?? ???-????? ????? ?? ??????? ??????? ???,4,
???? 1960 ??? ??. ?????? ?? ??????? ?? ??????????? ????????????? ??? ???????? ?? ?? ?????? ???? ??? ?? 1966 ??? ???????? ??????? ???????? ????? ?? ??,4,
???? ???? ??. ?????? ???-???????? ?? ??????? ?? ???????? ?????? ?? ?????? ??? ??? ???,4,
"???? ?? ??????? ?? ??????? ?????? ?? ????? ??? ??? ???? ?????? ?? ?? ??? ??, ?? ?????? ?????? ?? ????? ????????? ?? ????? ??? ???? ???",4,
1960 ?? ??? ??? ?????? ?? ????????? ?? ?? ??? ?? ?????? ?? ?? ????? ??? ?? ???????? ‘?????’ ?? ??? ??????? ?????? ?? ?????????????? ?? ??????? ?? ????? ?? ?????? ?? ???????? ?????? ?? ????? ?? ????????? ???? ??,4,
"????? ?? ?? ???? ?? ?????? ?????-???? ???????? ???? ?? ??? ?????????????? ?? 64 ??????? ?????? ???? ?? ???, ?? ??????? ?? ??????? ?? ??? ???",4,
?????? ?? ?? ???? ??? ??? ??????? ?? ?? ???????????????? ?? ???-?? ?????? ?????? ??? ????? ????? ???? ?? ????? ??,4,
"???????? ?? ??? ?? ?? ?????? ?? ?? ?????????????? ??? ?????? ?? ????? ??? ?? ???? ??? ??????? ???? ???? ??, ??????? ?????? (?????) ??? ???? ??",4,
???????? ?? ?? ??? ????? ?? ??? ?????? ?????? ?? ??????? ?? ??????? ???? ?? ??? ???? ?? ??? ??????? ???? ???,4,
??. ?????? ?? ?????? ?? ???? ?????????????? ???? ??????????? ?? ?????? ???? ??? ???????? ???????? ???,4,
??. ?????? ?? ????????? ?? ??? ?? ?? ?????????? ?????? ?? ??????????????? ??????? ???? ??????? ?? ????? ??? ??? ???,4,
??????? ???? ??????? ??? ???????????????? ?? ???? ???,4,
??? ??????? ?? ??????????? ??? ?????? ???? ???-???????????????? ?? ?????? ?? ?????? ???? ???,4,
??. ?????? ?????? ???????????????? ?? ??? ???? ??? ??? ?? ?? ?? ?? ??? ?? ????? ???????????? ???????????????? ???? ????????? ???? ?? ???????? ???? ??? ??? ???,4,
???? ??????? ?? ??? ??? ????? ?????? ?? ?????? ??? ??????????? ????? ?? ????? ????? ???? ?? ??? ??,4,
"??. ?????? ?? 1970 ??? ????????? ??? ?? ?? ?????? ????, ?? ?? ?? ???? ???????? ?? ?? ???? ??? ?? ???? ??????? ????????? ????????? ???? ??? ??? ???",4,
"?? ????? ??? ?? ??????, ??????? ?? ???????? ????? ?? ????? ???",4,
"?? ???????? ????????? ?? ?????? 9 ?????, 2011 ?? ??????? ?? ??????????? ??? ???",4,
???? ????? ?? ???? 1969 ??? ??. ?????? ?? ???????? ???????? ?? ???????? ???? ??,4,
"???????? ?? ??????? ??. ?????? ?? ??????? ?? ?????? ???? ?? ??? ?????????? ?????? ???????????, ???? ????? ?? ????-???? ????? ??? ?????????? ???? ?? ??????? ??? ?? 2007 ??? ?????? ????????? ??????? ???? ??",4,
"????? ????? ?? ?????? ???, '?????? ???????, ??? ??????, ????? ???? ?? ???? ????????, ???? ??????? ??? ???? ????? ???? ???? ?????? ??? ?????????? ?? ?? ??? ??- ??? ?????? ????????",1,
"?? ?????? ???? ?????? ??? ????? ???? ?? ???? ??????? ? ???????? ?????? ????? ?????? ??? ???? ??? ?? ???? ??, ???? ?????? ?????? ?? ???? ?? ??????? ???????????? ???? ????????? ????????",4,
???? ?? ???? ?? ????? ????????? ?????????? ?? ??????? ??????? ?? ??? ????????? ???? ??? ?? ?????? ?? ?? ?????? ?? ????? ?? ??? ???? ????? ?????,4,
??????????? ?? ???????? ??? ?? ?????? ???? ?????? ??? ?????????? ?? ???? ???,4,
???? ???? ???? ??????????? ??????? ??,4,
"?????????? ?? ??? ???? ?? ??, ???? ???? ?? ???????? ?? ???",4,
?????? ??? ???? ????-???? ???,4,
???? ?????? ?????? ??????? ??? ???,4,
17 ???? ?? ??????? ??? ?? ??????? ?? ??????? ?? ??????? ?? ???????? ???? ?? ???? ?? ?? ???? ????? ?????? ?????? ?? ?????? ?? ??,4,
???????????? ?? ??? ??? ??? ??,4,
??? ?? ???? ???? ?? ???????? ???????? ???? ????????? ??? ???? ???? ??,4,
"????????? ??? ???? ?????? ???. ??. ????????, ?????? ??????? ???, ???? ????????????? ?? ???? ???????? ??",4,
???????? ????? ?????? ??? ??????? ???????? ?? '????????' ?? ????? ??????? ??,4,
?????????? ?? ????? ???? ??? ?? ???? ??? ?? ????,4,
??? ?? ?????????? ??????? ?? ?????? ?? ??????? ??? ?????????? ?? ?????????? ?????? ???,4,
????????? ?????? ?? ????? ?? ??? ??? ??? ??,4,
???? ???? ??? ??? ?????? 9 ???? ?????? ??????? ?? ??????? ???? ????,4,
???? 1926 ??? ?????????? ?? ??? ???? ???? ?? ????? ??????? ????? ?? ?? ???????? ?? ???? ?????-??????? ????,4,
"??? ??? ?? ???????? ??? ??????, ???????? ???????????? ?????? ?? ?? ????? ???",4,
???? 1947 ??? ?????????? ??????????? ?? ??? ?? ?????? ?????? ???,4,
??? ?? ?? ????? ???? ??? ?????????? ?? ??????? ????? ?? 1952 ?? ???? ?? ????? ??? ???????? ?????? ?? ????? ?????? ?? ?????? ???? ?? ??? ??????? ?? ?????? ?????,4,
????? ??? ???????? ???? ????????? ????? ??? ????? ???? ??? ????? ?????????? ?? ????? ?????? ?? ???? ???,4,
1952 ??? ?? ?????????? ???????? ?? ??? ???? ??,4,
?????? ?????? ?? ????????? ?? ???????? ????? ???,4,
"4 ???? ???????? 1956 ??? ???????? ??? ???????? ?? ???, ?????? ??? ??? ?? ?? ???? ??? ???? ?? ??, ???? ?? ????? ??? ?? ????????? ???? ?? ???????? ????????? ?? ?? ????? ????",4,
?????????? ?? ?? ?????? ?? ????? ??? ?????? ???? ???,4,
???? ???????? ? ??????? ???? ?? ???? 1957 ?? ??????? ?? ????? ??? ?? ????? ??? ?? ???? ???????? ?????????? ??? ?????? ? ????? ?????? ?? ??? ??? ???????? ??? ??,4,
???? 1958 ??? ?? ??????? ? ??????? ?????? ???? ??,4,
"??. ?????? ????? ??? ?? ???? ?? ???????? ???? 1961 ??? ?? ????????? ???, ????? ???? 1963 ??? ?? ?????? ????? ?? ??????? ?? ????? ?????? ?? ????? ???? ?? ?????? ??????? ??? ?? ???????? ???? ??? ???? ?????? ?? ????? ????",4,
????? ???????? ????? ?? ??????? ???? ??? ?? ?????? ?????????? ?? ???? ???????? ????? ???,4,
????? 1964 ??? ?? ???? ????? ??? ???????? ?????? ?? ??? ??? ???????? ??? ??,4,
"??????????? ????? ????? ?? ???? ?? ???, ??? ?? ????? ????? ??? ????? ?? ?????? ?? ??? 9 ??? 1964 ?? ?????? ???????????? ?? ?? ????? ???",2,
???? 1965 ?? ????-??? ????? ??? ???????? ???????? ?? ????? ???? ?? ??? ?? ?????? ?? ???? ?? ????? ??? ????,1,
?????????? ?? ??????????????? ?? 18 ??? ?? ???????? ??? ???? ???????? ? ????????? ?? ????? ???? ??? ????? ?? ???? ???? ?? ?????? ???? ??? ?? ???? ???? ?????? ? ????? ???-??? ?? ???? ?????? ?????? ??? ?????? ???? ???,4,
"???. ????????????? ???? ?? ???????????? ???? ??? ??? ?? ??? ?? ?? ????? ???? ???????? ?? ?????? ????, ???? ????? ?? ?? ????? ??? ????????? ???? ??? ?????? ????? ?? ?????? ??????? ???????? ??",4,
"??????? ?? ???? ?? ?????? ?? ???? ??????? ?? ?????? ??? ???? ???? ?? ???? ??, ????? ??????????? ?????? ????? ?? ????? ??????? ?? ?? ??, ?????????? ?? ??? ??? ?? ??????? ?? ??? ?????????? ?????",4,
"??? ??? ????????? ???? ??????? ???? ?? ??????? ?? ???????? ??????? ???? ?? ????? ?? ?? ?????????? ??????? ??? ????? ???? ???? ??? ???????? ??? ?? ?????? ????- '??? ?? ????? ?????, ???-????? ?????? ???, ?????? ??? ?? ??? ????? ???",4,
???? ???? ?? ?? ????? ?? ?????? ???? ???? ?? ??????,4,
???????? ?? ???? ?? ????? ?? ??? ????? ?????,4,
